Supplier_ID,Name,Country,VAT_Number,Email,Contract_Type,Creation_Date,Compliance_RGPD,Status
SUPP0602,"Johnson, Ortiz and Page",United States,So61240166,kimharris@gmail.com,Design,2016-07-01,Yes,Active
SUPP0569,Turner-Giles,Italy,Lu79822804,ramirezjason@hotmail.com,Consulting,2018-06-10,Yes,Inactive
SUPP0810,Johnson Group,Germany,Nq61530483,martinbrandi@yahoo.com,Distribution,2025-05-21,No,Active
SUPP0591,Moon Inc,United Kingdom,pN23052057,ashley90@hayes.com,Consulting,2021-05-31,Yes,Active
SUPP0346,Miranda-Ruiz,Japan,PE76176178,lharper@ware-holmes.biz,Production,2017-03-02,Yes,Inactive
SUPP0293,Mccarthy-Gutierrez,India,,pgilbert@myers.com,Consulting,2022-03-03,Yes,Inactive
SUPP0947,Richardson Inc,India,pz48693984,invalid_email@,Design,2021-02-08,Yes,Active
SUPP0655,"Freeman, Rollins and Turner",United States,zS75577909,kennethsanchez@hotmail.com,Design,2024-12-31,No,Active
SUPP0708,Miranda and Sons,China,UU00016019,mary73@williams.org,Consulting,2024-05-16,Yes,Active
SUPP0155,"Irwin, Krause and Sharp",United Kingdom,Xc72127016,longian@raymond-garcia.org,Distribution,2019-05-24,Yes,Active
SUPP0417,Johnston Ltd,India,oD06201392,john87@jefferson.net,Distribution,2022-02-28,Yes,Inactive
SUPP0613,Morgan LLC,Switzerland,Nx89544048,bradfordwayne@yahoo.com,Design,2022-01-31,No,Inactive
SUPP0933,Norris Inc,United States,zV07192050,rachelcarter@hotmail.com,Production,2019-07-01,Yes,Active
SUPP0590,Tyler LLC,Spain,Ut50680240,kbarr@yahoo.com,Distribution,2022-06-01,Yes,Inactive
SUPP0199,Wagner Ltd,United Kingdom,pE69611733,donna67@yahoo.com,Consulting,2017-04-04,Yes,Inactive
SUPP0650,"Waters, Murray and Lawrence",China,en98018592,josesmith@donovan-love.com,Production,2023-07-23,Yes,Active
SUPP0791,Mcclure-Ingram,China,iU62371642,denise07@hotmail.com,Distribution,2020-01-10,Yes,Inactive
SUPP0736,Simpson Inc,Japan,TF46342104,eayala@simmons.com,Logistics,2024-07-07,Yes,Inactive
SUPP0911,Watkins PLC,China,Jp85357037,qwilliams@torres.org,Design,2016-10-03,Yes,Inactive
SUPP0214,Johnson-Sanchez,United Kingdom,iH32472088,joshua01@gmail.com,Design,2018-06-23,Yes,Active
SUPP0331,Barrett PLC,United States,aA37400990,williamgolden@yahoo.com,Production,2016-03-24,Yes,Active
SUPP0995,Tate-Goodwin,Spain,nT26770642,thomasrobertson@yahoo.com,Consulting,2022-04-21,Yes,Inactive
SUPP0323,"White, Hughes and Duncan",Japan,lY27866707,joshuajoseph@hotmail.com,Consulting,2023-09-22,Yes,Inactive
SUPP0374,Brady-Herrera,Spain,pH27974161,alicia24@gmail.com,Design,2021-03-08,Yes,Inactive
SUPP0448,Foster-Klein,China,XN34723800,melissa55@mccoy.org,Design,2015-10-08,Yes,Active
SUPP0940,Valentine Inc,France,Dw15612799,invalid_email@,Distribution,2022-11-11,Yes,Active
SUPP0955,"Sullivan, Potter and Nolan",United States,QR55081634,thebert@rogers.org,Consulting,2017-05-14,Yes,Active
SUPP0742,Nichols-Oliver,Germany,,dreynolds@patton.com,Production,2025-01-02,Yes,Active
SUPP0725,Johnston Inc,Spain,HK06633120,timothymyers@woods.org,Production,2025-03-16,No,Active
SUPP0679,Beck-Wallace,Japan,iU69567782,fbailey@hotmail.com,Logistics,2020-04-11,Yes,Inactive
SUPP0551,"Lee, Knight and Dickerson",United States,mT19007648,cjacobson@hotmail.com,Distribution,2022-07-28,Yes,Active
SUPP0133,Murray-Richards,United States,iD06897086,jasmine45@hotmail.com,Design,2019-05-28,Yes,Active
SUPP0973,"Clark, Mcknight and Horn",Germany,ZU97132682,qcaldwell@gmail.com,Production,2020-04-03,Yes,Inactive
SUPP0843,Petersen-Neal,Spain,ZP44887714,jeremy32@gmail.com,Consulting,2021-12-18,No,Inactive
SUPP0499,Smith-Smith,Spain,Dr37932284,amandasimmons@sanchez.com,Consulting,2024-08-09,Yes,Active
SUPP0895,Brown Ltd,Germany,fB79127577,anthonycuevas@gmail.com,Design,2025-05-19,Yes,Active
SUPP0026,Ashley and Sons,United States,UQ51871372,randallglenda@yahoo.com,Production,2019-10-12,Yes,Inactive
SUPP0785,Garcia-Hale,United Kingdom,Ni85070922,invalid_email@,Production,2021-10-04,No,Active
SUPP0749,"Garcia, Clayton and Nichols",France,xc45855534,angelica30@hurst-page.biz,Consulting,2022-11-21,Yes,Inactive
SUPP0662,Mooney and Sons,Switzerland,Nc92136155,thernandez@yahoo.com,Logistics,2015-10-01,Yes,Active
SUPP0059,Ferrell and Sons,France,mt61937477,jrodriguez@collins.biz,Consulting,2022-03-06,Yes,Inactive
SUPP0001,Cohen-Lopez,China,eA99499358,onewman@gmail.com,Distribution,2023-01-03,No,Active
SUPP0081,"Hunter, Adkins and Watts",Germany,,millersamantha@stein.com,Logistics,2021-04-05,Yes,Inactive
SUPP0649,Mason-Collier,France,HM02836973,cameronjames@gray.com,Distribution,2020-03-04,Yes,Inactive
SUPP0942,Krueger-Anderson,India,Bc56201490,elizabeth86@hotmail.com,Distribution,2025-04-27,Yes,Active
SUPP0294,Jenkins-Turner,Spain,qH54375770,bmatthews@chase.com,Logistics,2018-11-02,Yes,Active
SUPP0972,"Burns, Cortez and Clark",Switzerland,zJ83300933,alexishernandez@gmail.com,Distribution,2024-11-11,Yes,Inactive
SUPP0603,Baker-Wood,China,yg27491900,thompsondakota@yahoo.com,Design,2019-06-21,Yes,Inactive
SUPP0240,Lamb-Combs,France,,linda36@edwards.biz,Distribution,2020-10-30,Yes,Active
SUPP0090,Baker Ltd,Spain,zp11225893,brayapril@garrison.info,Distribution,2019-08-14,Yes,Inactive
SUPP0699,"Johnson, White and Miller",Germany,Ai16857847,croman@hotmail.com,Production,2023-04-17,Yes,Active
SUPP0553,Bailey LLC,United Kingdom,Rp21003111,nsalazar@yahoo.com,Design,2018-03-30,Yes,Inactive
SUPP0291,Owens LLC,Germany,,invalid_email@,Production,2024-05-04,Yes,Inactive
SUPP0959,Norton-Macdonald,Italy,ks61944908,iallen@miller.net,Design,2024-12-14,Yes,Inactive
SUPP0890,"Willis, Mcdonald and Brown",UAE,ZD89781191,osbornelaura@fields.com,Production,2019-07-29,Yes,Inactive
SUPP0661,"Dalton, Payne and Watson",Switzerland,ca23440592,fcaldwell@carpenter.com,Design,2018-05-30,Yes,Inactive
SUPP0425,Schmidt-Taylor,Japan,Jl31469260,paul61@gmail.com,Consulting,2023-01-11,Yes,Active
SUPP0802,"Hernandez, Moon and Brown",Spain,IF05624206,iblair@smith.org,Distribution,2018-10-09,Yes,Inactive
SUPP0002,Arroyo Group,India,Pa01456549,parkercarla@hotmail.com,Design,2017-01-25,Yes,Active
SUPP0604,"Webster, King and Rogers",UAE,SH85488792,hoffmanrachael@gmail.com,Consulting,2021-02-25,Yes,Inactive
SUPP0944,Key Group,France,qA13178544,xschaefer@dixon.com,Design,2020-10-10,Yes,Inactive
SUPP0860,Turner Group,Switzerland,uX39742392,jamieshort@vance-erickson.info,Logistics,2022-09-25,Yes,Inactive
SUPP0547,"Rogers, Nichols and Hill",India,QT96855916,campbellhannah@hotmail.com,Consulting,2020-07-22,Yes,Active
SUPP0540,Roberts-Reynolds,Japan,Wf74708263,wyattkeith@hodge.biz,Logistics,2018-06-11,Yes,Inactive
SUPP0443,"Green, Reed and Jones",United Kingdom,UZ76899680,michael02@gmail.com,Distribution,2015-11-11,Yes,Active
SUPP0106,Rose LLC,Germany,kf07381620,daniellereeves@acosta-davis.com,Distribution,2020-09-06,Yes,Active
SUPP0611,"Brown, Walker and Wang",Brazil,dy37705885,nmartin@smith.info,Production,2018-06-26,Yes,Active
SUPP0040,Bryant-Hernandez,Fight,ro79857859,kingchristina@dunn.net,Distribution,2017-09-08,Yes,Inactive
SUPP0060,"Smith, Jones and Phillips",India,zc35958872,gonzalezderek@yahoo.com,Production,2022-12-02,Yes,Inactive
SUPP0850,"Schwartz, Browning and Nelson",France,RB85511430,james39@waters.com,Distribution,2018-05-10,Yes,Inactive
SUPP0279,Gilmore Inc,United States,KD16970406,yrodriguez@yahoo.com,Logistics,2017-06-24,Yes,Inactive
SUPP0303,Le Group,United States,fi64450197,haysnatalie@gross.com,Production,2023-06-04,Yes,Inactive
SUPP0422,Paul and Sons,United States,AY80000191,rdavis@gmail.com,Production,2024-11-21,Yes,Active
SUPP0713,Thomas-Baker,UAE,,alexandra70@powell.com,Logistics,2019-06-13,Yes,Active
SUPP0165,Martinez-Johnson,Germany,vp40686292,martinezjessica@blevins.com,Consulting,2022-11-16,No,Inactive
SUPP0143,Lopez LLC,UAE,hi53938678,laurenhubbard@pace.com,Distribution,2021-03-27,No,Inactive
